date,description,FLL000041,FLL000160,FLL000158,FLL000267,FLL000481,FLL000414,FLL000037,FLL000332,FLL000054,FLL000434,FLL000107,FLL000116,FLL000045,FLL000209,FLL000056,FLL000030,FLL000152,FLL000482,FLL000458,FLL000133,FLL000015,FLL000075,FLL000127,FLL000119,FLL000025,FLL000199,FLL000011,FLL000282,FLL000083,FLL000032,FLL000014,FLL000006,FLL000129,FLL000295,FLL000257,FLL000500,FLL000234,FLL000478,FLL000260,FLL000060,FLL000106,FLL000001,FLL000040,FLL000009,FLL000035,FLL000114,FLL000084,FLL000112,FLL000086,FLL000043,FLL000333,FLL000143,FLL000002,FLL000141,FLL000138,FLL000235,FLL000012,FLL000470,FLL000047,FLL000427,FLL000018,FLL000063,FLL000031,FLL000109,FLL000038,FLL000003,FLL000309,FLL000044,FLL000142,FLL000476,FLL000016,FLL000146,FLL000027,FLL000108,FLL000051,FLL000168,FLL000440,FLL000467,FLL000233,FLL000070,FLL000236,FLL000023,FLL000285,FLL000446,FLL000065,FLL000039,FLL000190,FLL000284,FLL000286,FLL000392,FLL000034,FLL000213,FLL000132,FLL000057,FLL000147,FLL000448,FLL000491,FLL000088,FLL000145,FLL000102,FLL000094,FLL000250,FLL000095,FLL000154,FLL000294,FLL000053,FLL000460,FLL000069,FLL000130,FLL000049,FLL000442,FLL000454,FLL000091,FLL000462,FLL000307,FLL000131,FLL000121,FLL000161,FLL000437,FLL000126,FLL000164,FLL000283,FLL000059,FLL000485,FLL000170,FLL000276,FLL000469,FLL000287,FLL000452,FLL000105,FLL000024,FLL000277,FLL000238,FLL000426,FLL000310,FLL000128,FLL000253,FLL000423,FLL000066,FLL000115,FLL000159,FLL000019,FLL000113,FLL000064,FLL000148,FLL000055,FLL000022,FLL000256,FLL000081,FLL000395,FLL000417,FLL000090,FLL000292,FLL000150,FLL000263,FLL000097,FLL000494,FLL000221,FLL000071,FLL000087,FLL000020,FLL000457,FLL000093,FLL000225,FLL000305,FLL000010,FLL000026,FLL000042,FLL000429,FLL000149,FLL000017,FLL000111,FLL000076,FLL000151,FLL000137,FLL000441,FLL000068,FLL000430,FLL000118,FLL000223,FLL000466,FLL000008,FLL000028,FLL000029,FLL000036,FLL000007,FLL000488,FLL000033,FLL000156,FLL000433,FLL000319,FLL000004,FLL000153,FLL000431,FLL000299,FLL000005,FLL000085,FLL000300,FLL000078,FLL000013,FLL000229,FLL000325,FLL000216,FLL000280,FLL000314,FLL000258,FLL000136,FLL000021,FLL000230,FLL000418,FLL000436,FLL000181
2014-03-20 00:00:00,"Motor Vehicle and Mobile Home Taxes, Fees, and Surcharges",N/A,Y,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,N/A,Y,NV,Y,N/A,Y,Y,Y,N/A,Y,N/A,NV,Y,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,Y,Y,NV,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,N/A
2014-03-04 00:00:00,Sex Offenses,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2014-03-12 00:00:00,Sex Offenses,N/A,Y,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,NV,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,N/A
2014-03-20 00:00:00,Sex Offenses,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,NV,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2014-03-04 00:00:00,Involuntary Civil Commitment of Sexually Violent Predators,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2014-03-12 00:00:00,Involuntary Civil Commitment of Sexually Violent Predators,N/A,Y,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,NV,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,N/A
2014-03-04 00:00:00,Sexually Violent Predators,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2014-03-12 00:00:00,Sexually Violent Predators,N/A,Y,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,NV,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,N/A
2014-03-04 00:00:00,Sexual Offenses,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2014-03-12 00:00:00,Sexual Offenses,N/A,Y,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,N/A,N/A,NV,Y,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,NV,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,Y,N/A,Y,N/A,Y,N/A,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,Y,N/A,Y,N/A,N/A,N/A
2014-03-18 00:00:00,Reubin O’Donovan Askew,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2014-03-11 00:00:00,Military and Veterans Affairs,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,NV,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,NV,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2014-03-04 00:00:00,Joint Rules of the Florida Legislature,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,NV,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2013-04-04 00:00:00,Public Records/Identifying Information of Department of Health Personnel,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
2013-04-04 00:00:00,Meetings of District School Boards,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y
